Agency Name,State Name [District] Latest available year,State Abbr [District] Latest available year,NCES ID,Supervisory Union (ID) Number [District] 2020-21,Total Schools,Agency Type [District] 2020-21,Start of Year Status [District] 2020-21,Lowest Grade Offered,Highest Grade Offered,Total Students,Full-Time Equivalent (FTE) Teachers [District] 2020-21,Pupil/Teacher Ratio [District] 2020-21
KERKHOVEN-MURDOCK-SUNBURG,Minnesota,MN,2717120,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,742,51.69,14.35
KERMAN UNIFIED,California,CA,0619490,,7,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,5230,227.1,23.03
KERMIT ISD,Texas,TX,4825560,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1275,94.25,13.53
KERN COUNTY OFFICE OF EDUCATION,California,CA,0691012,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,2222,162.61,13.66
KERN COUNTY ROP,California,CA,0600075,,1,9-Specialized public school district,1-Open,9th Grade,12th Grade,0,–,–
KERN HIGH,California,CA,0619540,,24,1-Regular local school district that is NOT a component of a supervisory union,1-Open,9th Grade,12th Grade,42370,1727.08,24.53
KERN HIGH ROC,California,CA,0600076,,1,9-Specialized public school district,1-Open,9th Grade,12th Grade,0,–,–
KERNVILLE UNION ELEMENTARY,California,CA,0619590,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,8th Grade,812,39.05,20.79
KERRVILLE ISD,Texas,TX,4825590,,9,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,4781,313.06,15.27
KERSHAW 01,South Carolina,SC,4502550,,19,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,10763,703.3,15.3
KESTER ELEM,Montana,MT,3015510,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,4,1,4
KESTREL HEIGHTS SCHOOL,North Carolina,NC,3700055,,1,7-Independent Charter District,1-Open,Kindergarten,8th Grade,429,29.5,14.54
KESTREL SCHOOLS INC. (79065),Arizona,AZ,0400267,,1,7-Independent Charter District,1-Open,9th Grade,12th Grade,25,–,–
KETCHIKAN GATEWAY BOROUGH SCHOOL DISTRICT,Alaska,AK,0200150,,9,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,2161,160.6,13.46
KETCHUM,Oklahoma,OK,4016380,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,560,45.01,12.44
KETTERING CITY SCHOOL DISTRICT,Ohio,OH,3904418,,12,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,7660,459.74,16.66
KETTLE FALLS SCHOOL DISTRICT,Washington,WA,5303990,,5,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1129,56.58,19.95
KETTLE MORAINE SCHOOL DISTRICT,Wisconsin,WI,5503510,,11,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,3630,225.15,16.12
KEWANEE CUSD 229,Illinois,IL,1721000,,7,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1929,–,–
