Agency Name,State Name [District] Latest available year,State Abbr [District] Latest available year,NCES ID,Supervisory Union (ID) Number [District] 2020-21,Total Schools,Agency Type [District] 2020-21,Start of Year Status [District] 2020-21,Lowest Grade Offered,Highest Grade Offered,Total Students,Full-Time Equivalent (FTE) Teachers [District] 2020-21,Pupil/Teacher Ratio [District] 2020-21
BLUFFVIEW MONTESSORI,Minnesota,MN,2705850,,1,7-Independent Charter District,1-Open,Kindergarten,8th Grade,208,26.22,7.93
BLUFORD UNIT SCHOOL DISTRICT 318,ILLINOIS,IL,1701417,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,389,–,–
BLUM ISD,Texas,TX,4810650,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,365,29.86,12.22
BLYTHEVILLE SCHOOL DISTRICT,Arkansas,AR,0503320,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1750,144.57,12.1
BMP TRI COUNTY SPECIAL ED COOP,Illinois,IL,1700164,,0,9-Specialized public school district,1-Open,–,–,†,†,†
BOARDMAN LOCAL,Ohio,OH,3904830,,6,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,3804,211.67,17.97
BOAZ CITY,Alabama,AL,0100012,,5,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,2431,135.4,17.95
BOB HOPE SCHOOL,Texas,TX,4801410,,4,7-Independent Charter District,1-Open,Prekindergarten,12th Grade,2385,125.9,18.94
BOERNE ISD,Texas,TX,4810710,,13,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,9617,631.24,15.24
BOGOTA PUBLIC SCHOOL DISTRICT,New Jersey,NJ,3401920,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1273,99.6,12.78
BOGUS ELEMENTARY,California,CA,0605490,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,8th Grade,20,0.94,21.28
BOIS BLANC PINES SCHOOL DISTRICT,Michigan,MI,2606300,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,8th Grade,5,1,5
BOISE CITY,Oklahoma,OK,4004860,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,307,22.3,13.77
BOISE INDEPENDENT DISTRICT,Idaho,ID,1600360,,49,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,23703,1538.31,15.41
BOISTFORT SCHOOL DISTRICT,Washington,WA,5300630,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,91,8.06,11.29
BOKOSHE,Oklahoma,OK,4004950,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,153,15,10.2
BOLD CHARTER SCHOOL,NEW YORK,NY,3601198,,1,7-Independent Charter District,1-Open,Kindergarten,2nd Grade,187,12,15.58
BOLD KIDS AFTER SCHOOL PROG,North Carolina,NC,3700156,,0,8-Other education agencies,1-Open,†,†,†,†,†
BOLES ISD,Texas,TX,4810740,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,497,47.53,10.46
BOLINAS-STINSON UNION,California,CA,0605520,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,8th Grade,84,8.5,9.88
BOLING ISD,Texas,TX,4810780,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1101,72,15.29
BOLIVAR R-I,Missouri,MO,2905370,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,2779,202.18,13.75
BOLIVAR-RICHBURG CENTRAL SCHOOL DISTRICT,New York,NY,3600012,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,718,66.51,10.8
BOLTON CENTRAL SCHOOL DISTRICT,New York,NY,3605010,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,183,26,7.04
BOLTON SCHOOL DISTRICT,Connecticut,CT,0900360,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,748,79,9.47
BON HOMME SCHOOL DISTRICT 04-2,South Dakota,SD,4607400,,8,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,530,44.52,11.9
BONCL R-X,Missouri,MO,2905400,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,54,8.5,6.35
BOND COUNTY CUSD 2,Illinois,IL,1717730,,6,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1658,–,–
BOND FAYETTE EFFINGHAM EFE 410,Illinois,IL,1700234,,0,4-Regional Education Service Agency (RESA),1-Open,–,–,†,†,†
BOND/CHRISTIAN/EFFINGHAM/FAYETTE/MONTGOMERY ROE,Illinois,IL,1700165,,7,8-Other education agencies,1-Open,Prekindergarten,12th Grade,–,–,–
BONDUEL SCHOOL DISTRICT,Wisconsin,WI,5501470,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,693,52.12,13.3
BONDURANT-FARRAR COMM SCHOOL DISTRICT,Iowa,IA,1905070,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,2509,156.67,16.01
BONHAM ISD,Texas,TX,4810800,,5,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1796,138.24,12.99
BONITA ELEMENTARY DISTRICT (4224),Arizona,AZ,0401260,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,8th Grade,104,9,11.56
BONITA UNIFIED,California,CA,0605610,,15,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,9669,411.6,23.49
BONNER ELEM,Montana,MT,3004260,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,344,28,12.29
BONNER SPRINGS,Kansas,KS,2004050,,5,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,2634,201.45,13.08
BONNEVILLE ACADEMY,UTAH,UT,4900195,,1,7-Independent Charter District,1-Open,Kindergarten,8th Grade,517,–,–
BONNEVILLE JOINT DISTRICT,Idaho,ID,1600930,,24,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,13230,649.22,20.38
BONNIE CONE CLASSICAL ACADEMY,NORTH CAROLINA,NC,3700449,,1,7-Independent Charter District,1-Open,Kindergarten,7th Grade,752,39.13,19.22
BONNY DOON UNION ELEMENTARY,California,CA,0605640,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,6th Grade,107,7.6,14.08
BONSALL UNIFIED,CALIFORNIA,CA,0601426,,5,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,2164,98.66,21.93
BOOKER ISD,Texas,TX,4810830,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,362,39.73,9.11
BOOKER T. WASHINGTON ACADEMY DISTRICT,CONNECTICUT,CT,0900217,,1,7-Independent Charter District,1-Open,Kindergarten,7th Grade,480,39,12.31
BOONE CENTRAL SCHOOLS,Nebraska,NE,3102820,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,646,51.68,12.5
BOONE COMM SCHOOL DISTRICT,Iowa,IA,1905130,,5,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1952,141.62,13.78
BOONE COUNTY,Kentucky,KY,2100510,,25,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,20280,1353.21,14.99
BOONE COUNTY  SCHOOLS,West Virginia,WV,5400090,,13,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,3346,261,12.82
BOONE-APACHE,Oklahoma,OK,4005010,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,513,38.78,13.23
BOONE/WINNEBAGO ROE,Illinois,IL,1700166,,4,8-Other education agencies,1-Open,Prekindergarten,12th Grade,–,–,–
BOONEVILLE SCHOOL DIST,Mississippi,MS,2800820,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1297,89.33,14.52
BOONEVILLE SCHOOL DISTRICT,Arkansas,AR,0503450,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1256,108.12,11.62
BOONTON TOWN SCHOOL DISTRICT,New Jersey,NJ,3401950,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1457,132.84,10.97
BOONTON TOWNSHIP SCHOOL DISTRICT,New Jersey,NJ,3401980,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,387,44,8.8
BOONVILLE R-I,Missouri,MO,2905580,,5,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1549,126.36,12.26
BOOTHBAY-BOOTHBAY HBR CSD,Maine,ME,2303290,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,496,50.89,9.75
BOQUET VALLEY CSD,NEW YORK,NY,3601189,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,453,48,9.44
BORDEN COUNTY ISD,Texas,TX,4810860,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,231,21.87,10.56
BORDEN-HENRYVILLE SCHOOL CORP,INDIANA,IN,1800212,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1781,109.09,16.33
BORDENTOWN REGIONAL SCHOOL DISTRICT,New Jersey,NJ,3402030,,5,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,2373,194,12.23
BORGER ISD,Texas,TX,4810890,,6,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,2472,194.8,12.69
BORREGO SPRINGS UNIFIED,California,CA,0605700,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,373,19.9,18.74
BOSCOBEL AREA SCHOOL DISTRICT,Wisconsin,WI,5501500,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,737,67.59,10.9
BOSQUEVILLE ISD,Texas,TX,4810910,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,729,59.79,12.19
BOSSIER PARISH,Louisiana,LA,2200270,,34,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,22431,1239.5,18.1
BOSTON,Massachusetts,MA,2502790,,115,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,48112,4595.49,10.47
BOSTON COLLEGIATE CHARTER (DISTRICT),Massachusetts,MA,2500053,,1,7-Independent Charter District,1-Open,5th Grade,12th Grade,723,69.29,10.43
BOSTON DAY AND EVENING ACADEMY CHARTER (DISTRICT),Massachusetts,MA,2500049,,1,7-Independent Charter District,1-Open,9th Grade,12th Grade,356,26,13.69
BOSTON GREEN ACADEMY HORACE MANN CHARTER SCHOOL (DISTRICT),Massachusetts,MA,2500526,,1,7-Independent Charter District,1-Open,6th Grade,12th Grade,509,57.53,8.85
BOSTON PREPARATORY CHARTER PUBLIC (DISTRICT),Massachusetts,MA,2500080,,1,7-Independent Charter District,1-Open,6th Grade,12th Grade,671,57.8,11.61
BOSTON RENAISSANCE CHARTER PUBLIC (DISTRICT),Massachusetts,MA,2500039,,1,7-Independent Charter District,1-Open,Prekindergarten,6th Grade,943,84,11.23
BOSWELL,Oklahoma,OK,4005040,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,282,24.16,11.67
BOSWORTH R-V,Missouri,MO,2905610,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,54,12.78,4.23
BOTETOURT CO PBLC SCHS,Virginia,VA,5100420,,12,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,4431,317.13,13.97
BOTKINS LOCAL,Ohio,OH,3904976,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,608,36.3,16.75
BOTTINEAU 1,North Dakota,ND,3803060,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,677,58.6,11.55
BOULDER ELEM,Montana,MT,3004380,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,157,13.28,11.82
BOULDER RE-1J ST VRAIN AU,Colorado,CO,0800263,,0,4-Regional Education Service Agency (RESA),1-Open,–,–,†,†,†
BOULDER RE-2 BOULDER AU,Colorado,CO,0800227,,0,4-Regional Education Service Agency (RESA),1-Open,–,–,†,†,†
BOULDER VALLEY SCHOOL DISTRICT NO. RE2,Colorado,CO,0802490,,56,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,29240,1717.07,17.03
BOUND BROOK SCHOOL DISTRICT,New Jersey,NJ,3402100,,5,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1975,172,11.48
BOUNDARY COUNTY DISTRICT,Idaho,ID,1600420,,5,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1322,84.23,15.7
BOURBON COUNTY,Kentucky,KY,2100540,,6,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,2738,173.45,15.79
BOURBONNAIS SD 53,Illinois,IL,1706750,,5,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,2269,–,–
BOURNE,Massachusetts,MA,2502820,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1650,139.77,11.81
BOUSE ELEMENTARY DISTRICT (4513),Arizona,AZ,0401290,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,41,3,13.67
BOVINA ISD,Texas,TX,4810950,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,465,44.47,10.46
BOW SAU OFFICE,New Hampshire,NH,3300024,067 ,0,3-Supervisory union administrative center (or county superintendent's office serving the same purpose),1-Open,†,†,†,†,†
BOW SCHOOL DISTRICT,New Hampshire,NH,3301950,067 ,3,2-Local school district that is a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1677,122.4,13.7
BOWBELLS 14,North Dakota,ND,3803090,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,67,12.73,5.26
BOWDLE SCHOOL DISTRICT 22-1,South Dakota,SD,4607800,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,128,17.65,7.25
BOWERBANK PUBLIC SCHOOLS,Maine,ME,2303390,,0,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,2,0.00,†
BOWIE ISD,Texas,TX,4810990,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1693,125.73,13.47
BOWIE UNIFIED DISTRICT (4171),Arizona,AZ,0401330,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,63,6.02,10.47
BOWLEGS,Oklahoma,OK,4005130,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,231,17.54,13.17
BOWLER SCHOOL DISTRICT,Wisconsin,WI,5501560,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,329,34.9,9.43
BOWLING GREEN CITY SCHOOL DISTRICT,Ohio,OH,3904363,,6,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,2728,166.15,16.42
BOWLING GREEN INDEPENDENT,Kentucky,KY,2100570,,11,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,4151,267.97,15.49
BOWLING GREEN R-I,Missouri,MO,2905660,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1368,102.03,13.41
BOWMAN CO 1,North Dakota,ND,3803200,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,509,51.15,9.95
BOWRING,Oklahoma,OK,4005160,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,57,6.64,8.58
BOX ELDER DISTRICT,Utah,UT,4900090,,24,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,12062,–,–
BOX ELDER ELEM,Montana,MT,3004440,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,299,23.85,12.54
BOX ELDER H S,Montana,MT,3004500,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,9th Grade,12th Grade,105,11.98,8.76
BOXFORD,Massachusetts,MA,2502880,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,6th Grade,679,65.1,10.43
BOYCEVILLE COMMUNITY SCHOOL DISTRICT,Wisconsin,WI,5501590,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,685,56.98,12.02
BOYD COUNTY,Kentucky,KY,2100620,,12,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,3135,248.12,12.64
BOYD COUNTY SCHOOLS,NEBRASKA,NE,3100187,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,364,30.11,12.09
BOYD ISD,Texas,TX,4811010,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1267,93.34,13.57
BOYD SCHOOL,Alabama,AL,0100020,,1,5-State agency providing elementary and/or secondary level instruction,1-Open,†,†,†,0.00,–
BOYDEN-HULL COMM SCHOOL DISTRICT,Iowa,IA,1905190,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,681,48.1,14.16
BOYER VALLEY COMM SCHOOL DISTRICT,Iowa,IA,1909570,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,409,38.1,10.73
BOYERTOWN AREA SD,Pennsylvania,PA,4203960,,9,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,6530,442.71,14.75
BOYLE COUNTY,Kentucky,KY,2100630,,7,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,2671,184.3,14.49
BOYNE CITY PUBLIC SCHOOLS,Michigan,MI,2606500,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1270,76.76,16.55
BOYNE FALLS PUBLIC SCHOOL DISTRICT,Michigan,MI,2606510,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,207,17.11,12.1
BOYS & GIRLS CLUBS OF THE EAST VALLEY DBA MESA ART (4305),Arizona,AZ,0400033,,1,7-Independent Charter District,1-Open,Kindergarten,8th Grade,228,–,–
BOYS LATIN OF PHILADELPHIA CS,Pennsylvania,PA,4200760,,1,7-Independent Charter District,1-Open,6th Grade,12th Grade,843,65.8,12.81
BOYS PREPARATORY CHARTER SCHOOL OF NEW YORK,NEW YORK,NY,3601115,,1,7-Independent Charter District,1-Open,Prekindergarten,7th Grade,772,61,12.66
BOYS RANCH ISD,Texas,TX,4811040,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,206,55.62,3.7
BOYS TOWN INTERIM PRG SCHS,Nebraska,NE,3100146,,3,8-Other education agencies,1-Open,†,†,–,22,–
BOZEMAN ELEM,Montana,MT,3004560,,10,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,4464,297.16,15.02
BOZEMAN H S,Montana,MT,3004590,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,9th Grade,12th Grade,2389,148.9,16.04
BOZRAH SCHOOL DISTRICT,Connecticut,CT,0900390,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,173,18.5,9.35
BRACEVILLE SD 75,Illinois,IL,1706840,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,8th Grade,102,–,–
BRACKEN COUNTY,Kentucky,KY,2100660,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1223,74.49,16.42
BRACKETT ISD,Texas,TX,4811070,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,519,58.88,8.81
BRADFORD,Florida,FL,1200120,,13,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,2791,203.71,13.7
BRADFORD,Tennessee,TN,4701390,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,620,43,14.42
BRADFORD ACADEMY,Michigan,MI,2600284,,1,7-Independent Charter District,1-Open,Prekindergarten,12th Grade,1150,65.3,17.61
BRADFORD AREA SD,Pennsylvania,PA,4204020,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,2527,169,14.95
BRADFORD CENTRAL SCHOOL DISTRICT,New York,NY,3605220,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,240,30.4,7.89
BRADFORD CUSD 1,Illinois,IL,1706880,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,153,–,–
BRADFORD EXEMPTED VILLAGE,Ohio,OH,3904522,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,471,37.37,12.6
BRADFORD PREPARATORY SCHOOL,North Carolina,NC,3700356,,1,7-Independent Charter District,1-Open,Kindergarten,12th Grade,1582,112.87,14.02
BRADFORD SCHOOL DISTRICT,Arkansas,AR,0503480,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,465,37.85,12.29
BRADLEY BEACH SCHOOL DISTRICT,New Jersey,NJ,3402130,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,263,37.8,6.96
BRADLEY BOURBONNAIS CHSD 307,Illinois,IL,1706960,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,9th Grade,12th Grade,1944,–,–
BRADLEY COUNTY,Tennessee,TN,4700330,,17,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,9701,648.86,14.95
BRADLEY SD 61,Illinois,IL,1706930,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,1387,–,–
BRADLEY UNION ELEMENTARY,California,CA,0605730,,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,58,3,19.33
BRADLEYVILLE R-I,Missouri,MO,2905700,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,226,18.5,12.22
BRADY ISD,Texas,TX,4811110,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,991,88.3,11.22
BRADY PUBLIC SCHOOLS,Nebraska,NE,3104290,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,181,21.44,8.44
BRAGGS,Oklahoma,OK,4005280,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,115,9.37,12.27
BRAHAM PUBLIC SCHOOL DISTRICT,Minnesota,MN,2706060,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,747,44.62,16.74
BRAINERD PUBLIC SCHOOL DISTRICT,Minnesota,MN,2706090,,12,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,6420,432.35,14.85
BRAINTREE,Massachusetts,MA,2502940,,10,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,5456,434.2,12.57
BRANCH ISD,Michigan,MI,2680180,,2,9-Specialized public school district,1-Open,Prekindergarten,12th Grade,508,86.33,5.88
BRANCH LINE SCHOOL,Michigan,MI,2601042,,1,7-Independent Charter District,1-Open,Prekindergarten,8th Grade,129,11.2,11.52
BRANCHBURG TOWNSHIP SCHOOL DISTRICT,New Jersey,NJ,3402160,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,8th Grade,1325,152.67,8.68
BRANDON SCHOOL DISTRICT IN THE COUNTIES OF OAKLAND AND LAPEE,Michigan,MI,2606570,,5,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,2221,116.35,19.09
BRANDON VALLEY SCHOOL DISTRICT 49-2,South Dakota,SD,4607950,,7,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,4721,255.06,18.51
BRANDON-EVANSVILLE PUBLIC SCHOOLS,Minnesota,MN,2700382,,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,519,34.99,14.83
BRANDYWINE COMMUNITY SCHOOLS,Michigan,MI,2606600,,5,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1276,70,18.23
BRANDYWINE HEIGHTS AREA SD,Pennsylvania,PA,4204050,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,1365,119.38,11.43
BRANDYWINE SCHOOL DISTRICT,Delaware,DE,1001240,,17,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,10405,760.3,13.69
BRANFORD SCHOOL DISTRICT,Connecticut,CT,0900420,,5,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,2577,232.1,11.1
BRANSON R-IV,Missouri,MO,2905760,,7,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,4640,321.21,14.45
BRANSON REORGANIZED SCHOOL DISTRICT NO. 82,Colorado,CO,0802520,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,594,34.2,17.37
BRANTLEY COUNTY,Georgia,GA,1300480,,7,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,3404,230,14.8
BRANTWOOD CHILDRENS HOME,Alabama,AL,0100040,,1,5-State agency providing elementary and/or secondary level instruction,1-Open,†,†,†,0.00,–
BRASHER FALLS CENTRAL SCHOOL DISTRICT,New York,NY,3627960,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,997,83.99,11.87
BRASS CITY CHARTER SCHOOL DISTRICT,Connecticut,CT,0900215,,1,7-Independent Charter District,1-Open,Prekindergarten,8th Grade,361,24.12,14.97
BRAWLEY ELEMENTARY,California,CA,0605790,,5,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,8th Grade,3898,167.52,23.27
BRAWLEY UNION HIGH,California,CA,0605820,,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,9th Grade,12th Grade,2019,80.22,25.17
BRAXTON COUNTY SCHOOLS,West Virginia,WV,5400120,,8,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1771,131,13.52
BRAY-DOYLE,Oklahoma,OK,4005340,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,263,27.95,9.41
BRAYMER C-4,Missouri,MO,2905820,,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,283,25.27,11.2
