NCESSCH,free_lunches
10169000579,49
10169000580,46
10169000581,55
10169000582,36
10171000588,52
10171000589,59
10171000592,94
10171000875,0
10171002156,92
10171002158,89
10171002162,94
10171002165,88
10172000594,53
10172001370,0
10172001795,64
10172001885,57
10173000328,18
10173000596,37
10173000597,41
10173000598,32
10173000599,25
10173001371,0
10174000600,85
10174000602,89
10174000603,54
10174000604,46
10174000605,44
10174000881,0
10174002120,0
10174002122,0
10176000606,22
10176000607,37
10176000608,30
10176000609,32
10176000610,24
10177000611,69
10177000612,73
10177000614,81
10177000615,49
10177000616,88
10177000617,44
10177000882,0
10177000885,0
10177001668,71
10177002077,60
10177002078,61
10180000254,0
10180000533,6
10180000618,23
10180000619,83
10180000620,39
10180000621,39
10180000622,63
10180000623,91
10180000624,58
10180000627,92
10180000628,42
10180000629,24
10180000630,83
10180000631,18
10180000632,24
10180000633,89
10180000634,15
10180000635,83
10180000636,77
10180000638,88
10180000639,17
10180000640,84
10180000642,0
10180000643,88
10180000644,87
10180000647,91
10180000650,87
10180000651,35
10180000652,96
10180000653,0
10180001373,0
10180001374,49
10180001375,0
10180001379,0
10180001527,0
10180001528,95
10180001529,90
10180001530,32
10180001531,47
10180001651,50
10180001652,0
10180001653,0
10180001669,0
10180001773,38
10180001774,39
10180001796,47
10180002093,6
10180002146,59
10180002172,56
10180002173,7
10183000654,77
10183000655,72
10183000656,70
10183000657,78
10183000658,75
10183000659,90
10183000662,60
10183000663,74
10183000666,72
10183000667,67
10183000668,56
10183000671,64
10183000888,0
10183000908,0
10183001532,59
10183001533,65
10183001534,59
10183001674,63
10183001751,67
10186000672,55
10186000673,48
10189000674,47
10189000675,31
10189000677,42
10189000678,42
10189000679,72
10189001675,50
10192000466,0
10192000469,50
10192000472,57
10192000483,43
10192000681,76
10192000684,36
10192000687,81
10192000689,38
10192000691,94
10192000692,77
10192000694,92
10192000695,73
10192000696,42
10192000697,40
10192000698,30
10192000699,72
10192000701,92
10192000702,80
10192000703,73
10192000704,62
10192000705,35
10192000706,31
10192000710,52
10192000715,82
10192000716,61
10192000717,52
10192000718,82
10192000720,29
10192000724,95
10192000725,40
10192000727,86
10192000728,29
10192000729,26
10192000730,75
10192000731,0
10192000732,36
10192000733,69
10192000734,54
10192000735,50
10192000736,56
10192000737,46
10192000740,45
10192000744,50
10192000749,68
10192000750,61
10192000917,0
10192001453,45
10192001539,78
10192001542,68
10192001543,63
10192001571,0
10192001574,0
10192001680,53
10192001752,69
10192001862,0
10192002079,34
10192002080,78
10192002117,75
10192002166,49
10192002169,47
10192002174,35
10192002182,90
10195000756,63
10195000757,66
10195000941,0
10195001511,55
10195001720,53
10198000759,79
10198000760,87
10198001544,95
10201000762,0
10201000763,0
10201000764,34
10201000765,53
10201000766,0
10201000767,44
10201000769,10
10201000770,39
10201000772,45
10201000773,40
10201000774,69
10201000775,58
10201001545,33
10204000776,88
10204000777,0
10204000778,65
10204000779,48
10204000780,41
10204000781,89
10204000783,53
10204000785,60
10204000786,60
10204000787,67
10204000788,74
10204000958,0
10204001410,67
10204001546,63
10204001575,0
10204002211,73
10207000284,70
10207000285,66
10207000290,95
10207000296,52
10207000486,50
10207000790,59
10207000791,59
10207000792,89
10207000793,64
10207000794,56
10207000795,38
10207000796,47
10207002188,56
10207002197,48
10210000797,45
10210000799,56
10210000800,31
10210000802,55
10210000805,69
10210000806,81
10210000808,79
10210000810,58
10210000959,0
10210001454,32
10210001549,56
10210002081,51
10210002164,63
10213000811,87
10213000812,80
10213000813,88
10213001380,0
10216000815,97
10216000816,91
10216000817,99
10216000821,95
10216000974,0
10216001578,0
10216001635,97
10216001636,98
10216001637,98
10219000824,99
10219000826,99
10219000827,98
10219000829,98
10219001811,100
10219001863,93
10222000030,50
10222000556,41
10222000560,21
10222000566,53
10222000835,49
10222000836,35
10222000837,57
10222000838,55
10222000842,21
10222000843,51
10222000844,53
10222000846,57
10222000848,28
10222000850,59
10222000978,0
10222000984,0
10222001411,45
10222001412,55
10222001433,26
10222001513,39
10222001683,34
10222001684,37
10222001731,38
10222001819,0
10222001820,21
10222001821,33
10222002082,30
10222002163,39
10222002178,34
10225000852,98
10225000854,98
10225000856,95
10225000857,64
10225001583,0
10231000861,69
10231000862,57
10231000863,64
10231000865,65
10231000866,67
10231000867,61
10231000868,55
10231000869,76
10231000985,0
10231001455,79
10231001552,65
10231002160,71
10235000890,92
10235000891,87
10235000892,92
10235001381,0
10237000572,54
10237000895,75
10237000896,52
10237000897,95
10237000898,90
10237000899,42
10237000900,86
10237000901,95
10237000902,81
10237000904,78
10237000905,0
10237000906,70
10237000907,48
10237000910,81
10237000911,53
10237000912,61
10237000913,70
10237000914,79
10237000915,71
10237000916,70
10237000918,98
10237000919,91
10237000920,90
10237000922,94
10237000923,0
10237000924,67
10237000925,0
10237000927,72
10237000928,76
10237000929,0
10237000930,89
10237000931,52
10237000932,91
10237000933,0
10237000934,54
10237000935,86
10237000936,94
10237000937,94
10237000938,64
10237000939,97
10237000940,98
10237000942,66
10237000943,69
10237000944,84
10237000946,96
10237000947,48
10237000949,90
10237000950,0
10237000953,0
10237000954,94
10237000955,68
10237000956,74
10237000960,70
10237000961,82
10237000962,84
10237000963,96
10237000964,86
10237000965,77
10237000966,95
10237000967,0
10237000968,89
10237000969,95
10237000970,77
10237000989,61
10237000990,67
10237000992,96
10237001000,0
10237001028,93
10237001030,95
10237001038,93
10237001083,0
10237001086,0
10237001414,33
10237001415,0
10237001435,53
10237001436,58
10237001437,72
10237001438,83
10237001516,65
10237001556,89
10237001559,77
10237001560,53
10237001586,0
10237001595,96
10237001596,0
10237001597,0
10237001598,0
10237001600,0
10237001605,81
10237001609,0
10237001617,99
10237001618,73
10237001619,57
10237001620,68
10237001624,0
10237001625,0
10237001686,71
10237001687,98
10237001688,60
10237001689,66
10237001732,82
10237001775,92
10237001799,0
10237001813,56
10237002083,60
10237002136,73
10237002161,0
10237002168,30
10237002177,64
10237002202,53
10237002208,66
10240000972,0
10240000973,74
10240000975,58
10240000979,84
10240000980,60
10240000981,93
10240000982,0
10240000983,79
10240001087,0
10240001094,0
10240001562,82
10243000504,30
10243000512,95
10243000991,18
10243000993,96
10243000995,97
10243000996,74
10243000998,89
10243001001,97
10243001004,94
10243001006,64
10243001007,91
10243001008,90
10243001009,83
10243001010,92
10243001011,95
10243001012,74
10243001013,34
10243001014,17
10243001015,89
10243001016,83
10243001017,84
10243001018,0
10243001019,0
10243001020,0
10243001021,98
10243001022,97
10243001023,0
10243001024,83
10243001025,97
10243001027,56
10243001029,0
10243001031,87
10243001034,69
10243001035,86
10243001036,94
10243001037,91
10243001039,80
10243001101,89
10243001105,98
10243001111,96
10243001118,0
10243001392,95
10243001417,13
10243001439,97
10243001457,33
10243001458,69
10243001459,59
10243001521,0
10243001524,94
10243001563,91
10243001564,86
10243001627,0
10243001691,79
10243001692,0
10243001694,0
10243001695,0
10243001753,92
10243001776,26
10243001777,96
10243002084,16
10243002151,44
10243002152,58
10243002157,94
10243002203,81
10243002207,0
10243002214,53
10248000202,54
10248000204,69
10248000212,68
10248000574,53
10248001041,61
10248001042,47
10248001043,55
10248001044,57
10248001046,75
10248001048,33
10248001049,0
10248001050,80
10248001051,65
10248001052,49
10248001121,0
10248001440,40
10248001526,0
10248001696,53
10248001864,62
10248001871,38
10249001053,0
10249001054,0
10249001055,0
10249001056,0
10249001057,0
10249001058,0
10252001059,35
10252001060,43
10252001062,28
10252001063,24
10252001382,0
10252001424,31
10252001800,32
10255000583,52
10255001064,38
10258000093,85
10258000349,61
10258001067,84
10258001068,53
10258001070,60
10258001071,68
10258001566,63
10258001778,50
10258002098,0
10261001073,53
10261001074,56
10261001078,59
10263501075,46
10263501076,56
10263501383,59
10263501384,0
10263501733,56
10263501865,58
10263502099,64
10264001080,65
10264001081,70
10264001084,79
10264001085,74
10264001385,0
10264001386,0
10264001568,85
10265001469,69
10265001541,58
10265001569,54
10265001570,58
10265001572,72
10265001573,52
10265001722,58
10265001883,60
10265002200,55
10267001577,94
10267001579,91
10267001734,90
10267001735,95
10267002129,0
10270001088,66
10270001089,94
10270001090,75
10270001091,85
10270001092,73
10270001093,58
10270001096,92
10270001547,27
10270001548,85
10270001655,0
10270002140,64
10270002179,29
10273001097,97
10273001098,90
10273001099,94
10273001100,0
10273001102,79
10273001103,59
10273001104,47
10273001106,89
10273001131,0
10273001698,0
10276001108,59
10276001109,61
10276001818,65
10279001110,63
10279001112,82
10279001113,69
10279001114,67
10279001115,92
10279001137,0
10279002155,0
10282001119,69
10282001122,82
10282001123,63
10282001124,79
10282001125,56
